,District,Sector,Cellule,Village,Vill_Code,,NEP results,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Kigali,Nyabugogo,Ruhondo,11030310,10,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Kigali,Ruriba,Misibya,11030401,1,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Kigali,Ruriba,Nyabitare,11030402,2,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Kigali,Ruriba,Ruhango,11030403,3,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Kigali,Ruriba,Ruharabuge,11030404,4,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Kigali,Ruriba,Ruriba,11030405,5,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Kigali,Ruriba,Ruzigimbogo,11030406,6,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Kigali,Ruriba,Ryamakomar,11030407,7,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Kigali,Ruriba,Tubungo,11030408,8,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Kigali,Rwesero,Akanyamiram,11030501,1,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Kigali,Rwesero,Akinama,11030502,2,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Kigali,Rwesero,Makaga,11030503,3,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Kigali,Rwesero,Musimba,11030504,4,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Kigali,Rwesero,Ruhogo,11030505,5,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Kigali,Rwesero,Rwesero,11030506,6,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Kigali,Rwesero,Rweza,11030507,7,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Kigali,Rwesero,Vuganyana,11030508,8,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Kimisagara,Kamuhoza,Buhoro,11040101,1,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Kimisagara,Kamuhoza,Busasamana,11040102,2,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Kimisagara,Kamuhoza,Isimbi,11040103,3,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Kimisagara,Kamuhoza,Ituze,11040104,4,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Kimisagara,Kamuhoza,Karama,11040105,5,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Kimisagara,Kamuhoza,Karwarugabo,11040106,6,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Kimisagara,Kamuhoza,Kigabiro,11040107,7,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Kimisagara,Kamuhoza,Mataba,11040108,8,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Kimisagara,Kamuhoza,Munini,11040109,9,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Kimisagara,Kamuhoza,Ntaraga,11040110,10,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Kimisagara,Kamuhoza,Nunga,11040111,11,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Kimisagara,Kamuhoza,Rurama,11040112,12,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Kimisagara,Kamuhoza,Rutunga,11040113,13,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Kimisagara,Kamuhoza,Tetero,11040114,14,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Kimisagara,Katabaro,Akamahoro,11040201,1,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Kimisagara,Katabaro,Akishinge,11040202,2,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Kimisagara,Katabaro,Akishuri,11040203,3,GE,,,,,,,,,,,
